iter	Passed	Remaining
0	138	137965
1	139	69399
2	140	46572
3	141	35134
4	142	28266
5	142	23689
6	143	20409
7	144	17907
8	145	15975
9	145	14410
10	146	13133
11	146	12063
12	146	11159
13	147	10386
14	148	9728
15	148	9140
16	148	8615
17	149	8151
18	149	7735
19	150	7362
20	150	7027
21	151	6717
22	151	6435
23	151	6175
24	152	5938
25	152	5717
26	153	5514
27	153	5326
28	153	5152
29	154	4988
30	154	4836
31	155	4691
32	155	4555
33	155	4428
34	156	4308
35	156	4194
36	157	4090
37	157	3989
38	158	3894
39	158	3802
40	158	3715
41	159	3633
42	159	3558
43	160	3482
44	160	3410
45	161	3342
46	161	3275
47	161	3211
48	162	3149
49	162	3091
50	163	3036
51	163	2982
52	164	2932
53	164	2881
54	164	2833
55	165	2788
56	165	2745
57	166	2702
58	166	2660
59	167	2618
60	167	2579
61	167	2540
62	168	2505
63	168	2468
64	169	2432
65	169	2399
66	169	2366
67	170	2331
68	170	2300
69	170	2271
70	171	2241
71	171	2212
72	172	2185
73	172	2158
74	172	2132
75	173	2106
76	173	2082
77	174	2058
78	174	2033
79	174	2010
80	175	1988
81	175	1965
82	175	1944
83	176	1924
84	176	1902
85	177	1882
86	177	1861
87	177	1842
88	178	1824
89	178	1806
90	178	1787
91	179	1771
92	179	1754
93	180	1737
94	180	1720
95	180	1704
96	181	1687
97	181	1672
98	182	1658
99	182	1645
100	183	1631
101	183	1615
102	183	1601
103	184	1587
104	184	1573
105	184	1559
106	185	1547
107	185	1534
108	186	1521
109	186	1510
110	187	1498
111	187	1486
112	187	1475
113	188	1462
114	188	1451
115	188	1440
116	189	1428
117	189	1418
118	190	1406
119	190	1395
120	190	1385
121	191	1376
122	191	1365
123	191	1355
124	192	1345
125	192	1335
126	192	1326
127	193	1316
128	193	1307
129	194	1298
130	194	1290
131	194	1281
132	195	1273
133	195	1265
134	196	1257
135	196	1249
136	197	1241
137	197	1232
138	197	1225
139	198	1217
140	198	1209
141	198	1201
142	199	1194
143	199	1187
144	200	1180
145	200	1173
146	200	1165
147	201	1158
148	201	1152
149	202	1145
150	202	1139
151	202	1132
152	203	1126
153	203	1119
154	204	1113
155	204	1107
156	204	1100
157	205	1094
158	205	1088
159	206	1082
160	206	1077
161	207	1071
162	207	1065
163	207	1059
164	208	1053
165	208	1048
166	209	1042
167	209	1037
168	209	1032
169	210	1027
170	210	1022
171	211	1017
172	211	1011
173	212	1006
174	212	1001
175	212	996
176	213	991
177	213	987
178	214	982
179	214	977
180	214	971
181	214	966
182	215	961
183	215	957
184	216	952
185	216	948
186	217	943
187	217	939
188	217	935
189	218	931
190	218	926
191	219	922
192	219	917
193	219	913
194	220	908
195	220	904
196	220	900
197	221	896
198	221	892
199	222	888
200	222	884
201	222	880
202	223	876
203	223	872
204	223	868
205	224	864
206	224	860
207	225	857
208	225	853
209	225	849
210	226	846
211	226	842
212	226	838
213	227	834
214	227	831
215	228	828
216	228	824
217	228	821
218	229	818
219	229	814
220	230	810
221	230	807
222	230	804
223	231	800
224	231	797
225	231	794
226	232	790
227	232	787
228	232	784
229	233	781
230	233	777
231	233	774
232	234	771
233	234	768
234	234	764
235	235	761
236	235	758
237	236	755
238	236	753
239	236	750
240	237	747
241	237	744
242	238	741
243	238	738
244	238	735
245	239	733
246	239	730
247	239	727
248	240	724
249	240	721
250	240	719
251	241	716
252	241	713
253	242	710
254	242	708
255	242	705
256	243	703
257	243	700
258	243	697
259	244	695
260	244	692
261	244	690
262	245	687
263	245	684
264	246	682
265	246	680
266	246	677
267	247	675
