iter	Passed	Remaining
0	1	1089
1	1	862
2	2	836
3	3	783
4	3	768
5	4	766
6	5	742
7	5	712
8	6	687
9	6	657
10	7	638
11	7	620
12	7	605
13	8	597
14	8	584
15	9	575
16	9	571
17	10	560
18	10	553
19	11	546
20	11	540
21	11	531
22	12	530
23	12	527
24	13	521
25	13	517
26	14	513
27	14	511
28	15	505
29	15	507
30	16	503
31	16	500
32	16	495
33	17	492
34	17	490
35	18	485
36	18	484
37	18	480
38	19	476
39	19	473
40	20	470
41	20	467
42	20	463
43	21	460
44	21	457
45	22	458
46	22	456
47	22	454
48	23	451
49	23	450
50	24	449
51	24	448
52	25	447
53	25	447
54	25	445
55	26	445
56	26	444
57	27	442
58	27	441
59	28	438
60	28	437
61	28	437
62	29	437
63	29	438
64	30	436
65	30	436
66	31	434
67	31	434
68	32	433
69	32	431
70	32	430
71	33	430
72	33	428
73	34	429
74	34	428
75	35	426
76	35	425
77	35	424
78	36	422
79	36	421
80	37	420
81	37	419
82	37	415
83	38	416
84	38	415
85	39	414
86	39	415
87	40	416
88	40	418
89	41	418
90	41	418
91	42	417
92	42	415
93	43	414
94	43	413
95	43	412
96	44	412
97	44	413
98	45	412
99	45	411
100	46	410
101	46	409
102	47	409
103	47	408
104	47	407
105	48	406
106	48	405
107	49	404
108	49	404
109	49	403
110	50	403
111	50	402
112	51	402
113	51	402
114	52	401
115	52	401
116	52	399
117	53	398
118	53	398
119	54	397
120	54	396
121	54	395
122	55	395
123	55	393
124	56	392
125	56	392
126	56	391
127	57	390
128	57	390
129	58	390
130	58	390
131	59	390
132	59	390
133	60	388
134	60	388
135	61	388
136	61	388
137	62	387
138	62	388
139	63	387
140	63	387
141	63	385
142	64	385
143	64	385
144	65	384
145	65	384
146	66	383
147	66	383
148	67	383
149	67	382
150	67	381
151	68	380
152	68	380
153	69	380
154	69	379
155	70	379
156	70	379
157	71	378
158	71	378
159	72	379
160	72	378
161	73	377
162	73	377
163	74	377
164	74	377
165	74	376
166	75	376
167	75	375
168	76	374
169	76	374
170	76	373
171	77	372
172	77	371
173	78	371
174	78	370
175	79	370
176	79	369
177	79	369
178	80	368
179	80	368
180	81	367
181	81	366
182	81	365
183	82	365
184	82	365
185	83	364
186	83	364
187	84	363
188	84	362
189	84	362
190	85	361
191	85	361
192	86	360
193	86	360
194	87	360
195	87	359
196	88	359
197	88	359
198	89	358
199	89	357
200	90	357
201	90	357
202	90	356
203	91	356
204	91	356
205	92	355
206	92	354
207	93	354
208	93	353
209	93	353
210	94	352
211	94	352
212	95	351
213	95	351
214	96	350
215	96	350
216	96	349
217	97	348
218	97	348
219	98	347
220	98	347
221	98	346
222	99	346
223	99	345
224	100	345
225	100	344
226	101	344
227	101	343
228	101	343
229	102	342
230	102	342
231	103	341
232	104	343
233	104	343
234	105	343
235	106	343
236	106	342
237	106	342
238	107	341
239	107	340
240	107	339
241	108	339
242	108	338
243	109	337
244	109	337
245	109	336
246	110	335
247	110	335
248	111	334
249	111	334
250	111	333
251	112	332
252	112	332
253	112	331
254	113	331
255	113	330
256	114	330
257	114	329
258	115	329
259	115	328
260	115	327
261	116	327
262	116	326
263	116	326
264	117	325
265	117	325
266	118	324
267	118	323
268	118	323
269	119	322
270	119	322
271	120	322
272	120	321
273	121	321
274	121	321
275	122	321
276	123	321
277	123	320
278	124	320
279	124	320
280	125	319
281	125	319
282	125	318
283	126	318
284	126	317
285	127	317
286	127	316
287	127	316
288	128	315
289	129	315
290	129	315
291	129	314
292	130	313
293	130	313
294	130	312
295	131	312
296	131	312
297	132	311
298	132	311
299	133	310
300	133	310
301	133	309
302	134	309
303	134	308
304	135	308
305	135	307
306	136	307
307	136	306
308	137	306
309	137	305
310	137	305
311	138	305
312	138	304
313	139	304
314	139	303
315	140	303
316	140	302
317	140	302
318	141	301
319	141	300
320	141	300
321	142	299
322	142	299
323	143	298
324	143	298
325	144	298
326	144	297
327	145	297
328	145	296
329	145	296
330	146	295
331	146	295
332	147	294
333	147	294
334	148	293
335	148	293
336	148	293
337	149	292
338	149	291
339	150	291
340	150	291
341	151	290
342	151	290
343	152	290
344	152	289
345	153	289
346	153	288
347	153	288
348	154	287
349	154	287
350	155	286
351	155	286
352	155	285
353	156	284
354	156	284
355	156	283
356	157	283
357	157	282
358	158	282
359	158	281
360	159	281
361	159	281
362	159	280
363	160	279
364	160	279
365	161	279
366	161	278
367	162	278
368	162	278
369	163	277
370	163	277
371	163	276
372	164	276
373	164	275
374	165	275
375	165	274
376	165	274
377	166	273
378	166	273
379	167	272
380	167	272
381	168	272
382	168	271
383	169	271
384	169	270
385	170	270
386	170	270
387	170	269
388	171	269
389	171	268
390	172	268
391	172	267
392	173	267
393	173	266
394	173	266
395	174	265
396	174	265
397	175	264
398	175	264
399	175	263
400	176	263
401	176	262
402	177	262
403	177	261
404	177	261
405	178	260
406	178	260
407	179	259
408	179	259
409	179	258
410	180	258
411	180	257
412	181	257
413	181	257
414	182	256
415	182	256
416	182	255
417	183	255
418	183	254
419	184	254
420	184	253
421	185	253
422	185	252
423	185	252
424	186	251
425	186	251
426	187	251
427	187	250
428	187	249
429	188	249
430	188	248
431	188	248
432	189	247
433	189	247
434	190	246
435	190	246
436	190	245
437	191	245
438	191	244
439	191	244
440	192	243
441	192	243
442	193	243
443	193	242
444	194	242
445	194	241
446	195	241
447	195	240
448	195	240
449	196	240
450	196	239
451	197	239
452	197	238
453	198	238
454	198	237
455	199	237
456	199	236
457	199	236
458	200	235
459	200	235
460	200	234
461	201	234
462	201	234
463	202	233
464	202	233
465	203	232
466	203	232
467	204	231
468	204	231
469	204	230
470	205	230
471	205	229
472	205	229
473	206	229
474	207	228
475	207	228
476	208	228
477	208	227
478	208	227
479	209	226
480	209	226
481	210	225
482	210	225
483	210	224
484	211	224
485	211	223
486	212	223
487	212	222
488	212	222
489	213	221
490	213	221
491	213	220
492	214	220
493	214	219
494	215	219
495	215	218
496	215	218
497	216	218
498	216	217
499	217	217
500	217	216
501	217	216
502	218	215
503	218	215
504	219	214
505	219	214
506	219	213
507	220	213
508	220	212
509	220	212
510	221	211
511	221	211
512	222	210
513	222	210
514	222	209
515	223	209
516	223	209
517	224	208
518	224	208
519	225	207
520	225	207
521	226	207
522	226	206
523	226	206
524	227	205
525	227	205
526	228	204
527	228	204
528	228	203
529	229	203
530	229	202
531	230	202
532	230	202
533	230	201
534	231	201
535	231	200
536	232	200
537	232	199
538	233	199
539	233	198
540	233	198
541	234	197
542	234	197
543	234	196
544	235	196
545	235	195
546	236	195
547	236	195
548	236	194
549	237	194
550	237	193
551	238	193
552	238	192
553	239	192
554	239	192
555	240	191
556	240	191
557	240	190
558	241	190
559	241	189
560	242	189
561	242	189
562	242	188
563	243	188
564	243	187
565	244	187
566	244	186
567	244	186
568	245	185
569	245	185
570	246	184
571	246	184
572	246	183
573	247	183
574	247	183
575	247	182
576	248	182
577	248	181
578	249	181
579	249	180
580	250	180
581	250	179
582	250	179
583	251	178
584	251	178
585	252	178
586	252	177
587	252	177
588	253	176
589	253	176
590	254	175
591	254	175
592	254	174
593	255	174
594	255	174
595	256	173
596	256	173
597	257	172
598	257	172
599	257	171
600	258	171
601	258	170
602	258	170
603	259	170
604	259	169
605	260	169
606	260	168
607	260	168
608	261	167
609	261	167
610	261	166
611	262	166
612	262	165
613	263	165
614	263	164
615	263	164
616	264	163
617	264	163
618	264	163
619	265	162
620	265	162
621	266	161
622	266	161
623	267	161
624	267	160
625	267	160
626	268	159
627	268	159
628	269	158
629	269	158
630	270	158
631	270	157
632	271	157
633	271	156
634	272	156
635	272	155
636	272	155
637	273	155
638	273	154
639	274	154
640	274	153
641	275	153
642	275	152
643	275	152
644	276	152
645	276	151
646	277	151
647	277	150
648	278	150
649	278	150
650	279	149
651	279	149
652	279	148
653	280	148
654	280	147
655	281	147
656	281	147
657	282	146
658	282	146
659	282	145
660	283	145
661	283	144
662	284	144
663	284	144
664	285	143
665	285	143
666	286	142
667	286	142
668	286	141
